ID,gender,age,education,cov_cons,pseudo_info,trust_gov,compliance,,,,Values,
1,F,59,2,2.222222222,3.5,3.8,4,,ID,Respondent identification number,,
2,F,32,3,2.555555556,3.75,3.6,3,,gender,Respondent's gender,M,Male
3,M,33,3,3.666666667,4.75,1.4,2.125,,,,F,Female
4,F,44,6,1.222222222,1,2.4,4,,,,NA,Preffered not to answer
5,F,32,4,1.777777778,1.25,5,3.25,,age,Respondent's age,,
6,F,30,3,2.555555556,2.75,3.4,2.5,,education,,1,Primary school
7,F,30,4,1.111111111,1,4.6,4,,,,2,High school
8,F,37,6,4.555555556,2.75,3,4,,,,3,BA degree
9,F,32,4,1.222222222,1.75,3.2,4,,,,4,MA degree
10,F,39,4,1.333333333,3.75,3.6,3.25,,,,5,Specialist degree
11,F,26,4,1,1,3,2.375,,,,6,PhD
12,F,22,3,2.333333333,3.5,4.2,3.375,,cov_cons,COVID-19 conspiracy belief scale,,
13,F,24,3,1.777777778,1.75,4.6,3.25,,pseudo_info,Pseudoscientific information beliefs,,
14,F,33,4,4.111111111,3,2.8,3.125,,trust_gov,Trust in governemt officils,,
15,F,18,2,3.111111111,1,4,3.5,,compliance,Compliance with official COVID-19 guidelines,,
16,M,33,5,2.111111111,2,2.2,3.875,,,,,
17,M,23,2,3.555555556,2.25,1.6,1.875,,,,,
18,F,52,2,3.666666667,1,5,3.75,,,,,
19,F,21,2,1.111111111,1,3,3.25,,,,,
20,M,25,4,1.222222222,1.5,4,3.375,,,,,
21,F,19,3,3,2.5,3.2,1.75,,,,,
22,M,42,4,1.333333333,3.25,3.8,3.125,,,,,
23,M,43,3,2.888888889,1.75,1.8,1.25,,,,,
24,F,20,2,3.333333333,1.5,4.2,3,,,,,
25,M,25,2,1.111111111,1.25,4.8,3.375,,,,,
26,F,35,4,2.222222222,2.75,3.8,3.25,,,,,
27,F,25,3,1,1,4,3.75,,,,,
28,F,21,2,1.888888889,2,4.2,3.875,,,,,
29,F,21,3,1.888888889,1.5,3.6,3.875,,,,,
30,F,23,3,3.666666667,1,1,3.375,,,,,
31,F,43,4,1.555555556,3.25,3.6,4,,,,,
32,M,22,3,1.888888889,3,3.4,3.5,,,,,
33,F,23,3,3.222222222,2,1.6,2.25,,,,,
34,F,30,3,3.333333333,3.75,4.2,4,,,,,
35,F,21,1,1.888888889,2.5,3.4,2.75,,,,,
36,F,30,4,2.555555556,3.75,3.6,4,,,,,
37,F,27,3,1.222222222,1.5,2.8,3.25,,,,,
38,M,53,4,4.333333333,4,1.2,1.625,,,,,
39,F,21,3,2.666666667,1.5,4.2,3.5,,,,,
40,F,25,4,1.111111111,2,4,4,,,,,
41,F,22,3,4.444444444,2.75,2.8,3.375,,,,,
42,F,24,4,3.666666667,3.75,3,2.5,,,,,
43,F,49,2,4.555555556,3.5,1.8,2.5,,,,,
44,M,20,2,3.333333333,1,1,2.125,,,,,
45,F,21,2,2.222222222,1,4.4,3.875,,,,,
46,F,19,2,1,1,4.6,4,,,,,
47,F,18,2,1.888888889,3.5,3,2.375,,,,,
48,F,23,3,1.333333333,1.25,4.2,3.75,,,,,
49,F,20,2,2.777777778,2,2.4,2.25,,,,,
50,F,34,4,2.222222222,1.5,3,3.75,,,,,
51,F,22,3,3.222222222,2.5,3.8,3.375,,,,,
52,F,24,3,3.333333333,1,1.2,2.125,,,,,
53,F,18,2,2,1,4,3.875,,,,,
54,F,35,2,3.444444444,1.75,4.2,3.875,,,,,
55,M,36,4,1.555555556,1,4,4,,,,,
56,F,22,3,4.111111111,2.75,3.6,1.625,,,,,
57,F,21,2,1.888888889,1,3.6,3.375,,,,,
58,F,20,2,2.444444444,3.25,3.2,2.125,,,,,
59,M,29,4,1.444444444,1,3,2.875,,,,,
60,F,21,2,3,2.75,3.4,3.25,,,,,
61,F,21,2,3.222222222,2.5,4.2,2.5,,,,,
62,F,20,2,2.888888889,2.5,4,3.75,,,,,
63,F,27,3,1.888888889,3.25,3.6,3.125,,,,,
64,M,21,2,3.777777778,3.5,3,1.75,,,,,
65,F,22,3,3.666666667,1.75,4.2,3.625,,,,,
66,F,20,3,3,2,2.4,2.25,,,,,
67,F,26,4,4.111111111,1,2.6,3,,,,,
68,F,32,4,2.444444444,3,2.8,3,,,,,
69,F,33,4,1.666666667,3.5,2.4,3.25,,,,,
70,F,40,5,1.111111111,1,3.6,4,,,,,
71,F,24,3,1.333333333,1,3.6,3,,,,,
72,M,53,4,1.111111111,1,3.6,4,,,,,
73,F,30,4,1.666666667,1,3.2,3.625,,,,,
74,F,23,3,4.111111111,4,1.8,3.5,,,,,
75,M,34,5,1.444444444,3.25,2.2,4,,,,,
76,F,35,6,1.777777778,2.25,3,4,,,,,
77,F,39,4,1.222222222,1,3.8,4,,,,,
